[2026-01-13T06:06:54.430+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-13T06:06:54.442+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-01-13T06:05:00+00:00 [queued]>
[2026-01-13T06:06:54.445+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-01-13T06:05:00+00:00 [queued]>
[2026-01-13T06:06:54.445+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-13T06:06:54.449+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-01-13 06:05:00+00:00
[2026-01-13T06:06:54.452+0000] {standard_task_runner.py:64} INFO - Started process 75184 to run task
[2026-01-13T06:06:54.454+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_banking', 'download_minio', 'scheduled__2026-01-13T06:05:00+00:00', '--job-id', '107', '--raw', '--subdir', 'DAGS_FOLDER/miniotoSnowflake.py', '--cfg-path', '/tmp/tmpt0g0ks9i']
[2026-01-13T06:06:54.455+0000] {standard_task_runner.py:91} INFO - Job 107: Subtask download_minio
[2026-01-13T06:06:54.476+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_banking.download_minio scheduled__2026-01-13T06:05:00+00:00 [running]> on host 59a9472814dd
[2026-01-13T06:06:54.513+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_banking' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-01-13T06:05:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-13T06:05:00+00:00'
[2026-01-13T06:06:54.514+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-13T06:06:54.665+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-01-12/customers_181018205046.parquet -> /tmp/minio_downloads/customers_181018205046.parquet
[2026-01-13T06:06:54.668+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-01-12/customers_181047938005.parquet -> /tmp/minio_downloads/customers_181047938005.parquet
[2026-01-13T06:06:54.671+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-01-12/customers_181238677337.parquet -> /tmp/minio_downloads/customers_181238677337.parquet
[2026-01-13T06:06:54.674+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-01-12/customers_181238691057.parquet -> /tmp/minio_downloads/customers_181238691057.parquet
[2026-01-13T06:06:54.677+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-01-12/customers_181238701090.parquet -> /tmp/minio_downloads/customers_181238701090.parquet
[2026-01-13T06:06:54.680+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-01-12/customers_181238708415.parquet -> /tmp/minio_downloads/customers_181238708415.parquet
[2026-01-13T06:06:54.683+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-01-12/customers_181238716114.parquet -> /tmp/minio_downloads/customers_181238716114.parquet
[2026-01-13T06:06:54.685+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-01-12/customers_181239137995.parquet -> /tmp/minio_downloads/customers_181239137995.parquet
[2026-01-13T06:06:54.688+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-01-12/customers_181239143398.parquet -> /tmp/minio_downloads/customers_181239143398.parquet
[2026-01-13T06:06:54.690+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-01-12/customers_181239148836.parquet -> /tmp/minio_downloads/customers_181239148836.parquet
